Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,Greenhouse Gas Score,Comb CO2
JEEP Grand Cherokee L,3.6,6.0,4WD,Gasoline,standard SUV,7,4,430
JEEP Grand Cherokee L,3.6,6.0,4WD,Gasoline,standard SUV,7,4,430
JEEP Grand Cherokee L,5.7,8.0,4WD,Gasoline,standard SUV,5,3,533
JEEP Grand Cherokee L,5.7,8.0,4WD,Gasoline,standard SUV,5,3,533
JEEP Grand Wagoneer,3.0,6.0,4WD,Gasoline,standard SUV,5,3,537
JEEP Grand Wagoneer,3.0,6.0,4WD,Gasoline,standard SUV,5,3,537
JEEP Grand Wagoneer,6.4,8.0,4WD,Gasoline,standard SUV,1,2,602
JEEP Grand Wagoneer,6.4,8.0,4WD,Gasoline,standard SUV,1,2,602
JEEP Grand Wagoneer L,3.0,6.0,4WD,Gasoline,standard SUV,5,3,566
JEEP Grand Wagoneer L,3.0,6.0,4WD,Gasoline,standard SUV,5,3,566
JEEP Renegade,1.3,4.0,4WD,Gasoline,small SUV,6,5,347
JEEP Renegade,1.3,4.0,4WD,Gasoline,small SUV,6,5,347
JEEP Renegade Trailhawk,1.3,4.0,4WD,Gasoline,small SUV,6,5,372
JEEP Renegade Trailhawk,1.3,4.0,4WD,Gasoline,small SUV,6,5,372
JEEP Wagoneer,3.0,6.0,2WD,Gasoline,standard SUV,6,4,453
JEEP Wagoneer,3.0,6.0,2WD,Gasoline,standard SUV,6,4,453
JEEP Wagoneer,3.0,6.0,4WD,Gasoline,standard SUV,6,4,472
JEEP Wagoneer,3.0,6.0,4WD,Gasoline,standard SUV,6,4,472
JEEP Wagoneer,5.7,8.0,2WD,Gasoline,standard SUV,5,4,483
JEEP Wagoneer,5.7,8.0,2WD,Gasoline,standard SUV,5,4,483
JEEP Wagoneer,5.7,8.0,4WD,Gasoline,standard SUV,5,3,522
JEEP Wagoneer,5.7,8.0,4WD,Gasoline,standard SUV,5,3,522
JEEP Wagoneer L,3.0,6.0,2WD,Gasoline,standard SUV,6,4,453
JEEP Wagoneer L,3.0,6.0,2WD,Gasoline,standard SUV,6,4,453
JEEP Wagoneer L,3.0,6.0,4WD,Gasoline,standard SUV,6,4,476
JEEP Wagoneer L,3.0,6.0,4WD,Gasoline,standard SUV,6,4,476
JEEP Wrangler,2.0,4.0,4WD,Gasoline,small SUV,5,5,404
JEEP Wrangler,2.0,4.0,4WD,Gasoline,small SUV,5,5,388
JEEP Wrangler,2.0,4.0,4WD,Gasoline,small SUV,5,5,404
JEEP Wrangler,2.0,4.0,4WD,Gasoline,small SUV,5,5,388
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,440
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,443
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,440
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,443
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,421
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,416
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,421
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,7,4,416
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,5,4,459
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,5,4,446
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,5,4,459
JEEP Wrangler,3.6,6.0,4WD,Gasoline,small SUV,5,4,446
JEEP Wrangler,6.4,8.0,4WD,Gasoline,small SUV,1,2,623
JEEP Wrangler,6.4,8.0,4WD,Gasoline,small SUV,1,2,623
JEEP Wrangler 4xe,2.0,4.0,4WD,Gasoline/Electricity,small SUV,5,7,230
JEEP Wrangler 4xe,2.0,4.0,4WD,Gasoline/Electricity,small SUV,5,7,230
JEEP Wrangler EcoDiesel,3.0,6.0,4WD,Diesel,small SUV,1,5,411
JEEP Wrangler EcoDiesel,3.0,6.0,4WD,Diesel,small SUV,1,5,411
JEEP Wrangler Rubicon EcoDiesel,3.0,6.0,4WD,Diesel,small SUV,1,4,442
JEEP Wrangler Rubicon EcoDiesel,3.0,6.0,4WD,Diesel,small SUV,1,4,442
KIA Carnival,3.5,6.0,2WD,Gasoline,minivan,5,5,408
KIA Carnival,3.5,6.0,2WD,Gasoline,minivan,5,5,408
KIA EV6 GT,0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 GT,0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range AWD (19inch tire),0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range AWD (19inch tire),0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range AWD (20inch tire),0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 Long Range AWD (20inch tire),0.0,0.0,4WD,Electricity,station wagon,10,10,0
KIA EV6 Standard Range,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA EV6 Standard Range,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA Forte,1.6,4.0,2WD,Gasoline,midsize car,5,6,296
KIA Forte,1.6,4.0,2WD,Gasoline,midsize car,5,6,296
KIA Forte,1.6,4.0,2WD,Gasoline,midsize car,5,5,348
KIA Forte,1.6,4.0,2WD,Gasoline,midsize car,5,5,348
KIA Forte,2.0,4.0,2WD,Gasoline,midsize car,7,6,277
KIA Forte,2.0,4.0,2WD,Gasoline,midsize car,7,6,277
KIA Forte FE,2.0,4.0,2WD,Gasoline,midsize car,7,7,261
KIA Forte FE,2.0,4.0,2WD,Gasoline,midsize car,7,7,261
KIA K5,1.6,4.0,2WD,Gasoline,large car,5,6,293
KIA K5,1.6,4.0,2WD,Gasoline,large car,5,6,293
KIA K5,1.6,4.0,4WD,Gasoline,large car,5,6,316
KIA K5,1.6,4.0,4WD,Gasoline,large car,5,6,316
KIA K5,2.5,4.0,2WD,Gasoline,large car,5,5,332
KIA K5,2.5,4.0,2WD,Gasoline,large car,5,5,332
KIA Niro,1.6,4.0,2WD,Gasoline,station wagon,7,8,181
KIA Niro,1.6,4.0,2WD,Gasoline,station wagon,7,8,181
KIA Niro Electric,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA Niro Electric,0.0,0.0,2WD,Electricity,station wagon,10,10,0
KIA Niro FE,1.6,4.0,2WD,Gasoline,station wagon,7,9,167
KIA Niro FE,1.6,4.0,2WD,Gasoline,station wagon,7,9,167
KIA Niro Plug-in Hybrid,1.6,4.0,2WD,Gasoline/Electricity,station wagon,7,10,71
KIA Niro Plug-in Hybrid,1.6,4.0,2WD,Gasoline/Electricity,station wagon,7,10,71
KIA Rio,1.6,4.0,2WD,Gasoline,small car,3,7,250
KIA Rio,1.6,4.0,2WD,Gasoline,small car,3,7,250
KIA Seltos,1.6,4.0,4WD,Gasoline,small SUV,5,5,331
KIA Seltos,1.6,4.0,4WD,Gasoline,small SUV,5,5,331
KIA Seltos,2.0,4.0,2WD,Gasoline,small SUV,5,6,283
KIA Seltos,2.0,4.0,2WD,Gasoline,small SUV,5,6,283
KIA Seltos,2.0,4.0,4WD,Gasoline,small SUV,5,6,314
KIA Seltos,2.0,4.0,4WD,Gasoline,small SUV,5,6,314
KIA Sorento,2.5,4.0,2WD,Gasoline,small SUV,5,5,360
KIA Sorento,2.5,4.0,2WD,Gasoline,small SUV,5,5,360
KIA Sorento,2.5,4.0,4WD,Gasoline,small SUV,5,5,377
KIA Sorento,2.5,4.0,4WD,Gasoline,small SUV,5,5,377
KIA Sorento,2.5,4.0,2WD,Gasoline,small SUV,5,5,342
KIA Sorento,2.5,4.0,2WD,Gasoline,small SUV,5,5,342
KIA Sorento,2.5,4.0,4WD,Gasoline,small SUV,5,5,366
KIA Sorento,2.5,4.0,4WD,Gasoline,small SUV,5,5,366
KIA Sorento Hybrid,1.6,4.0,2WD,Gasoline,small SUV,7,7,242
KIA Sorento Hybrid,1.6,4.0,2WD,Gasoline,small SUV,7,7,242
KIA Sorento Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,262
KIA Sorento Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,262
KIA Sorento Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,105
KIA Sorento Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,105
KIA Soul,2.0,4.0,2WD,Gasoline,station wagon,7,6,301
KIA Soul,2.0,4.0,2WD,Gasoline,station wagon,7,6,301
KIA Soul Eco dynamics,2.0,4.0,2WD,Gasoline,station wagon,7,6,287
KIA Soul Eco dynamics,2.0,4.0,2WD,Gasoline,station wagon,7,6,287
KIA Sportage,2.5,4.0,2WD,Gasoline,small SUV,5,6,322
KIA Sportage,2.5,4.0,2WD,Gasoline,small SUV,5,6,322
KIA Sportage,2.5,4.0,4WD,Gasoline,small SUV,5,5,357
KIA Sportage,2.5,4.0,4WD,Gasoline,small SUV,5,5,357
KIA Sportage Hybrid,1.6,4.0,2WD,Gasoline,small SUV,7,8,206
KIA Sportage Hybrid,1.6,4.0,2WD,Gasoline,small SUV,7,8,206
KIA Sportage Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,233
KIA Sportage Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,233
KIA Sportage Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,96
KIA Sportage Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,96
KIA Stinger,2.5,4.0,2WD,Gasoline,midsize car,3,5,355
KIA Stinger,2.5,4.0,2WD,Gasoline,midsize car,3,5,355
KIA Stinger,2.5,4.0,4WD,Gasoline,midsize car,3,5,380
KIA Stinger,2.5,4.0,4WD,Gasoline,midsize car,3,5,380
KIA Stinger,3.3,6.0,2WD,Gasoline,midsize car,3,4,437
KIA Stinger,3.3,6.0,2WD,Gasoline,midsize car,3,4,437
KIA Stinger,3.3,6.0,4WD,Gasoline,midsize car,3,4,451
KIA Stinger,3.3,6.0,4WD,Gasoline,midsize car,3,4,451
KIA Telluride,3.8,6.0,2WD,Gasoline,small SUV,5,5,395
KIA Telluride,3.8,6.0,2WD,Gasoline,small SUV,5,5,395
KIA Telluride,3.8,6.0,4WD,Gasoline,small SUV,5,4,433
KIA Telluride,3.8,6.0,4WD,Gasoline,small SUV,5,4,433
LAMBORGHINI Huracan,5.2,10.0,4WD,Gasoline,small car,1,2,596
LAMBORGHINI Huracan,5.2,10.0,4WD,Gasoline,small car,1,2,596
LAMBORGHINI Huracan Coupe,5.2,10.0,2WD,Gasoline,small car,1,2,593
LAMBORGHINI Huracan Coupe,5.2,10.0,2WD,Gasoline,small car,1,2,593
LAMBORGHINI Huracan Spyder,5.2,10.0,2WD,Gasoline,small car,1,2,593
LAMBORGHINI Huracan Spyder,5.2,10.0,2WD,Gasoline,small car,1,2,593
LAMBORGHINI Huracan Spyder,5.2,10.0,4WD,Gasoline,small car,1,2,596
LAMBORGHINI Huracan Spyder,5.2,10.0,4WD,Gasoline,small car,1,2,596
LAMBORGHINI Urus Performante,4.0,8.0,4WD,Gasoline,station wagon,3,3,554
LAMBORGHINI Urus Performante,4.0,8.0,4WD,Gasoline,station wagon,3,3,554
LAMBORGHINI Urus S,4.0,8.0,4WD,Gasoline,standard SUV,3,3,554
LAMBORGHINI Urus S,4.0,8.0,4WD,Gasoline,standard SUV,3,3,554
LAND ROVER Defender 110,2.0,4.0,4WD,Gasoline,standard SUV,7,4,474
LAND ROVER Defender 110,2.0,4.0,4WD,Gasoline,standard SUV,7,4,474
LAND ROVER Defender 110,5.0,8.0,4WD,Gasoline,standard SUV,3,3,563
LAND ROVER Defender 110,5.0,8.0,4WD,Gasoline,standard SUV,3,3,563
LAND ROVER Defender 110 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,444
LAND ROVER Defender 110 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,444
LAND ROVER Defender 130 P300 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,480
LAND ROVER Defender 130 P300 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,480
LAND ROVER Defender 130 P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,480
LAND ROVER Defender 130 P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,480
LAND ROVER Defender 90,2.0,4.0,4WD,Gasoline,standard SUV,7,4,465
LAND ROVER Defender 90,2.0,4.0,4WD,Gasoline,standard SUV,7,4,465
LAND ROVER Defender 90,5.0,8.0,4WD,Gasoline,standard SUV,3,3,545
LAND ROVER Defender 90,5.0,8.0,4WD,Gasoline,standard SUV,3,3,545
LAND ROVER Defender 90 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,444
LAND ROVER Defender 90 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,444
LAND ROVER Discovery,2.0,4.0,4WD,Gasoline,standard SUV,7,4,421
LAND ROVER Discovery,2.0,4.0,4WD,Gasoline,standard SUV,7,4,421
LAND ROVER Discovery MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,5,415
LAND ROVER Discovery MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,5,415
LAND ROVER Discovery Sport,2.0,4.0,4WD,Gasoline,small SUV,7,4,437
LAND ROVER Discovery Sport,2.0,4.0,4WD,Gasoline,small SUV,7,4,437
LAND ROVER New Range Rover,4.4,8.0,4WD,Gasoline,standard SUV,5,4,508
LAND ROVER New Range Rover,4.4,8.0,4WD,Gasoline,standard SUV,5,4,508
LAND ROVER New Range Rover LWB,4.4,8.0,4WD,Gasoline,standard SUV,5,4,505
LAND ROVER New Range Rover LWB,4.4,8.0,4WD,Gasoline,standard SUV,5,4,505
LAND ROVER New Range Rover P360 LWB MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P360 LWB MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P360 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P360 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P400 LWB MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P400 LWB MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover P440 PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,10,107
LAND ROVER New Range Rover P440 PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,10,107
LAND ROVER New Range Rover Sport,4.4,8.0,4WD,Gasoline,standard SUV,5,4,508
LAND ROVER New Range Rover Sport,4.4,8.0,4WD,Gasoline,standard SUV,5,4,508
LAND ROVER New Range Rover Sport P360 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,5,409
LAND ROVER New Range Rover Sport P360 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,5,409
LAND ROVER New Range Rover Sport P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover Sport P400 MHEV,3.0,6.0,4WD,Gasoline,standard SUV,7,4,427
LAND ROVER New Range Rover Sport P440 PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,10,107
LAND ROVER New Range Rover Sport P440 PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,10,107
LAND ROVER Range Rover Evoque,2.0,4.0,4WD,Gasoline,small SUV,7,5,398
LAND ROVER Range Rover Evoque,2.0,4.0,4WD,Gasoline,small SUV,7,5,398
LAND ROVER Range Rover Evoque MHEV,2.0,4.0,4WD,Gasoline,small SUV,7,5,393
LAND ROVER Range Rover Evoque MHEV,2.0,4.0,4WD,Gasoline,small SUV,7,5,393
LAND ROVER Range Rover Velar,2.0,4.0,4WD,Gasoline,small SUV,7,5,393
LAND ROVER Range Rover Velar,2.0,4.0,4WD,Gasoline,small SUV,7,5,393
LAND ROVER Range Rover Velar P340 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,399
LAND ROVER Range Rover Velar P340 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,399
LAND ROVER Range Rover Velar P400 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,4,426
LAND ROVER Range Rover Velar P400 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,4,426
LEXUS ES 250,2.5,4.0,4WD,Gasoline,midsize car,6,6,315
LEXUS ES 250,2.5,4.0,4WD,Gasoline,midsize car,6,6,315
LEXUS ES 300h,2.5,4.0,2WD,Gasoline,midsize car,7,8,201
LEXUS ES 300h,2.5,4.0,2WD,Gasoline,midsize car,7,8,201
LEXUS ES 350,3.5,6.0,2WD,Gasoline,midsize car,5,5,346
LEXUS ES 350,3.5,6.0,2WD,Gasoline,midsize car,5,5,346
LEXUS ES 350 F Sport,3.5,6.0,2WD,Gasoline,midsize car,5,5,352
LEXUS ES 350 F Sport,3.5,6.0,2WD,Gasoline,midsize car,5,5,352
LEXUS GX 460,4.6,8.0,4WD,Gasoline,standard SUV,3,3,542
LEXUS GX 460,4.6,8.0,4WD,Gasoline,standard SUV,3,3,542
LEXUS IS 300,2.0,4.0,2WD,Gasoline,small car,5,5,355
LEXUS IS 300,2.0,4.0,2WD,Gasoline,small car,5,5,355
LEXUS IS 300,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS IS 300,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS IS 350,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS IS 350,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS IS 350,3.5,6.0,2WD,Gasoline,small car,5,5,385
LEXUS IS 350,3.5,6.0,2WD,Gasoline,small car,5,5,385
LEXUS IS 500,5.0,8.0,2WD,Gasoline,small car,5,4,451
LEXUS IS 500,5.0,8.0,2WD,Gasoline,small car,5,4,451
LEXUS LC 500,5.0,8.0,2WD,Gasoline,small car,5,4,473
LEXUS LC 500,5.0,8.0,2WD,Gasoline,small car,5,4,473
LEXUS LC 500 Convertible,5.0,8.0,2WD,Gasoline,small car,5,4,489
LEXUS LC 500 Convertible,5.0,8.0,2WD,Gasoline,small car,5,4,489
LEXUS LC 500h,3.5,6.0,2WD,Gasoline,small car,7,6,304
LEXUS LC 500h,3.5,6.0,2WD,Gasoline,small car,7,6,304
LEXUS LS 500,3.4,6.0,2WD,Gasoline,midsize car,5,5,405
LEXUS LS 500,3.4,6.0,2WD,Gasoline,midsize car,5,5,405
LEXUS LS 500,3.4,6.0,4WD,Gasoline,midsize car,5,4,432
LEXUS LS 500,3.4,6.0,4WD,Gasoline,midsize car,5,4,432
LEXUS LS 500h,3.5,6.0,2WD,Gasoline,midsize car,7,5,358
LEXUS LS 500h,3.5,6.0,2WD,Gasoline,midsize car,7,5,358
LEXUS LS 500h,3.5,6.0,4WD,Gasoline,midsize car,7,5,358
LEXUS LS 500h,3.5,6.0,4WD,Gasoline,midsize car,7,5,358
LEXUS LX 600,3.4,6.0,4WD,Gasoline,standard SUV,5,4,478
LEXUS LX 600,3.4,6.0,4WD,Gasoline,standard SUV,5,4,478
LEXUS NX 250,2.5,4.0,2WD,Gasoline,small SUV,6,6,311
LEXUS NX 250,2.5,4.0,2WD,Gasoline,small SUV,6,6,311
LEXUS NX 250,2.5,4.0,4WD,Gasoline,small SUV,6,6,318
LEXUS NX 250,2.5,4.0,4WD,Gasoline,small SUV,6,6,318
LEXUS NX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,358
LEXUS NX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,356
LEXUS NX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,358
LEXUS NX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,356
LEXUS NX 350h,2.5,4.0,4WD,Gasoline,small SUV,7,7,225
LEXUS NX 350h,2.5,4.0,4WD,Gasoline,small SUV,7,7,225
LEXUS NX 450h+,2.5,4.0,4WD,Gasoline/Electricity,small SUV,7,10,87
LEXUS NX 450h+,2.5,4.0,4WD,Gasoline/Electricity,small SUV,7,10,87
LEXUS RC 300,2.0,4.0,2WD,Gasoline,small car,5,5,355
LEXUS RC 300,2.0,4.0,2WD,Gasoline,small car,5,5,355
LEXUS RC 300,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS RC 300,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS RC 350,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS RC 350,3.5,6.0,4WD,Gasoline,small car,5,5,407
LEXUS RC 350,3.5,6.0,2WD,Gasoline,small car,5,5,385
LEXUS RC 350,3.5,6.0,2WD,Gasoline,small car,5,5,385
LEXUS RC F,5.0,8.0,2WD,Gasoline,small car,5,4,459
LEXUS RC F,5.0,8.0,2WD,Gasoline,small car,5,4,459
LEXUS RX 350,2.4,4.0,2WD,Gasoline,small SUV,7,5,353
LEXUS RX 350,2.4,4.0,2WD,Gasoline,small SUV,7,5,353
LEXUS RX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,371
LEXUS RX 350,2.4,4.0,4WD,Gasoline,small SUV,7,5,371
LEXUS RX 350h,2.5,4.0,4WD,Gasoline,small SUV,7,7,243
LEXUS RX 350h,2.5,4.0,4WD,Gasoline,small SUV,7,7,243
LEXUS RX 500h,2.4,4.0,4WD,Gasoline,small SUV,7,5,326
LEXUS RX 500h,2.4,4.0,4WD,Gasoline,small SUV,7,5,326
LEXUS UX 250h,2.0,4.0,2WD,Gasoline,small car,7,8,209
LEXUS UX 250h,2.0,4.0,2WD,Gasoline,small car,7,8,209
LEXUS UX 250h,2.0,4.0,4WD,Gasoline,small car,7,7,225
LEXUS UX 250h,2.0,4.0,4WD,Gasoline,small car,7,7,225
LINCOLN Aviator,3.0,6.0,2WD,Gasoline,standard SUV,5,4,424
LINCOLN Aviator,3.0,6.0,2WD,Gasoline,standard SUV,5,4,424
LINCOLN Aviator,3.0,6.0,4WD,Gasoline,standard SUV,5,4,466
LINCOLN Aviator,3.0,6.0,4WD,Gasoline,standard SUV,5,4,451
LINCOLN Aviator,3.0,6.0,4WD,Gasoline,standard SUV,5,4,466
LINCOLN Aviator,3.0,6.0,4WD,Gasoline,standard SUV,5,4,451
LINCOLN Aviator PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,8,209
LINCOLN Aviator PHEV,3.0,6.0,4WD,Gasoline/Electricity,standard SUV,7,8,209
LINCOLN Corsair,2.0,4.0,2WD,Gasoline,small SUV,7,5,356
LINCOLN Corsair,2.0,4.0,2WD,Gasoline,small SUV,7,5,356
LINCOLN Corsair,2.0,4.0,4WD,Gasoline,small SUV,7,5,374
LINCOLN Corsair,2.0,4.0,4WD,Gasoline,small SUV,7,5,374
LINCOLN Corsair PHEV,2.5,4.0,4WD,Gasoline/Electricity,small SUV,8,10,121
LINCOLN Corsair PHEV,2.5,4.0,4WD,Gasoline/Electricity,small SUV,8,10,121
LINCOLN Nautilus,2.0,4.0,4WD,Gasoline,small SUV,6,5,404
LINCOLN Nautilus,2.0,4.0,4WD,Gasoline,small SUV,6,5,404
LINCOLN Nautilus,2.0,4.0,4WD,Gasoline,small SUV,6,5,404
LINCOLN Nautilus,2.0,4.0,4WD,Gasoline,small SUV,6,5,404
LINCOLN Nautilus,2.7,6.0,4WD,Gasoline,small SUV,5,4,421
LINCOLN Nautilus,2.7,6.0,4WD,Gasoline,small SUV,5,4,421
LINCOLN Navigator,3.5,6.0,2WD,Gasoline,standard SUV,6,4,468
LINCOLN Navigator,3.5,6.0,2WD,Gasoline,standard SUV,6,4,462
LINCOLN Navigator,3.5,6.0,2WD,Gasoline,standard SUV,6,4,468
LINCOLN Navigator,3.5,6.0,2WD,Gasoline,standard SUV,6,4,462
LINCOLN Navigator,3.5,6.0,4WD,Gasoline,standard SUV,6,3,510
LINCOLN Navigator,3.5,6.0,4WD,Gasoline,standard SUV,6,4,498
LINCOLN Navigator,3.5,6.0,4WD,Gasoline,standard SUV,6,3,510
LINCOLN Navigator,3.5,6.0,4WD,Gasoline,standard SUV,6,4,498
LINCOLN Nuatilus,2.0,4.0,2WD,Gasoline,small SUV,6,5,386
LINCOLN Nuatilus,2.0,4.0,2WD,Gasoline,small SUV,6,5,386
LINCOLN Nuatilus,2.0,4.0,2WD,Gasoline,small SUV,6,5,387
LINCOLN Nuatilus,2.0,4.0,2WD,Gasoline,small SUV,6,5,387
LORDSTOWN Endurance,0.0,0.0,4WD,Electricity,pickup,10,10,0
LORDSTOWN Endurance,0.0,0.0,4WD,Electricity,pickup,10,10,0
"LUCID Air G Touring XR AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air G Touring XR AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air G Touring XR AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air G Touring XR AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air G Touring XR AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air G Touring XR AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air GT P AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air GT P AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Pure AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Pure AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Pure AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Pure AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/19"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/20"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
"LUCID Air Touring AWD w/21"" wheels",0.0,0.0,4WD,Electricity,large car,10,10,0
MASERATI Ghibli GT,3.0,6.0,2WD,Gasoline,midsize car,3,4,436
MASERATI Ghibli GT,3.0,6.0,2WD,Gasoline,midsize car,3,4,436
MASERATI Ghibli Modena,3.0,6.0,2WD,Gasoline,midsize car,3,4,436
MASERATI Ghibli Modena,3.0,6.0,2WD,Gasoline,midsize car,3,4,436
MASERATI Ghibli Modena,3.0,6.0,4WD,Gasoline,midsize car,3,4,457
MASERATI Ghibli Modena,3.0,6.0,4WD,Gasoline,midsize car,3,4,457
MASERATI Ghibli Trofeo,3.8,8.0,2WD,Gasoline,midsize car,1,3,560
MASERATI Ghibli Trofeo,3.8,8.0,2WD,Gasoline,midsize car,3,3,560
MASERATI Ghibli Trofeo,3.8,8.0,2WD,Gasoline,midsize car,3,3,560
MASERATI Ghibli Trofeo,3.8,8.0,2WD,Gasoline,midsize car,1,3,560
